,id,new_spec,hydrogen,nitrogen,ammonia,iron,water,nickel,cobalt,magnesium silicate,iron silicate,aluminum,nickel-iron,platinum
0,a0003361,S,,,,,,,,1e-30,0,,,
1,a0025143,S,,,,,,,,1e-30,0,,,
2,a0089136,X,,,,88,,10,0.5,,,,,
3,a0099942,Sq,,,,,,,,1e-30,0,,,
4,a0101955,B,0.235,0.001,0.001,10,,,,,,,,
5,a0138404,X,,,,88,,10,0.5,,,,,
6,a0141424,Sq,,,,,,,,1e-30,0,,,
7,a0162173,Cg,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
8,a0163899,S,,,,,,,,1e-30,0,,,
9,a0207945,B,0.235,0.001,0.001,10,,,,,,,,
10,a0208023,S,,,,,,,,1e-30,0,,,
11,a0216985,X,,,,88,,10,0.5,,,,,
12,a0225312,S,,,,,,,,1e-30,0,,,
13,a0228502,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
14,a0251732,Cg,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
15,a0292220,Sr,,,,,,,,1e-30,0,,,
16,a0309214,D,,,,,2.3e-05,,,,,,,
17,a0326354,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
18,a0329437,S,,,,,,,,1e-30,0,,,
19,a0341843,Sk,,,,,,,,1e-30,0,,,
20,a0350462,X,,,,88,,10,0.5,,,,,
21,a0350523,X,,,,88,,10,0.5,,,,,
22,a0350751,Sk,,,,,,,,1e-30,0,,,
23,a0354182,Sq,,,,,,,,1e-30,0,,,
24,a0363305,S,,,,,,,,1e-30,0,,,
25,a0367943,S,,,,,,,,1e-30,0,,,
26,a0382875,Sq,,,,,,,,1e-30,0,,,
27,a0416186,Q,,,,,,,,,,,13.315,
28,a0417419,X,,,,88,,10,0.5,,,,,
29,a0424482,Sq,,,,,,,,1e-30,0,,,
30,a0429389,Ld,,,,,,,,1e-30,0,,,
31,a0433303,Sr,,,,,,,,1e-30,0,,,
32,a0433953,X,,,,88,,10,0.5,,,,,
33,a0443104,Sq,,,,,,,,1e-30,0,,,
34,a0450237,X,,,,88,,10,0.5,,,,,
35,a0451157,L,,,,,,,,1e-30,0,7,,
36,a0451370,S,,,,,,,,1e-30,0,,,
37,a0452807,Sq,,,,,,,,1e-30,0,,,
38,a0455415,S,,,,,,,,1e-30,0,,,
39,a0459200,Xc,,,,88,,10,0.5,,,,,0.005
40,a0459872,Sq,,,,,,,,1e-30,0,,,
41,a0469219,Q,,,,,,,,,,,13.315,
42,a0471240,X,,,,88,,10,0.5,,,,,
43,a0471984,S,,,,,,,,1e-30,0,,,
44,a0474158,S,,,,,,,,1e-30,0,,,
45,a0474163,Sr,,,,,,,,1e-30,0,,,
46,a0478784,X,,,,88,,10,0.5,,,,,
47,a0488615,S,,,,,,,,1e-30,0,,,
48,a0490581,Sq,,,,,,,,1e-30,0,,,
49,a0499998,L,,,,,,,,1e-30,0,7,,
50,a0508908,S,,,,,,,,1e-30,0,,,
51,a0510529,Sk,,,,,,,,1e-30,0,,,
52,a0518810,V,,,,,,,,1e-30,0,,,
53,bJ92J00D,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
54,bJ93K00A,S,,,,,,,,1e-30,0,,,
55,bJ97U00R,L,,,,,,,,1e-30,0,7,,
56,bJ97Y09M,S,,,,,,,,1e-30,0,,,
57,bJ98K26Y,S,,,,,,,,1e-30,0,,,
58,bJ99A10O,S,,,,,,,,1e-30,0,,,
59,bJ99C09G,Xk,,,,88,,10,0.5,,,,,
60,bJ99N02W,Xe,,,,88,,10,0.5,,,,,
61,bJ99R32A,Sq,,,,,,,,1e-30,0,,,
62,bJ99S10F,V,,,,,,,,1e-30,0,,,
63,bJ99S10H,V,,,,,,,,1e-30,0,,,
64,bJ99V25W,Xc,,,,88,,10,0.5,,,,,0.005
65,bK00A06G,Sq,,,,,,,,1e-30,0,,,
66,bK00AK5E,S,,,,,,,,1e-30,0,,,
67,bK00SY4G,D,,,,,2.3e-05,,,,,,,
68,bK00U11K,Sq,,,,,,,,1e-30,0,,,
69,bK00W10G,X,,,,88,,10,0.5,,,,,
70,bK00YD4S,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
71,bK01A43V,V,,,,,,,,1e-30,0,,,
72,bK01B16A,U,,,,,,,,,,,,
73,bK01B16B,Sq,,,,,,,,1e-30,0,,,
74,bK01C36Q,S,,,,,,,,1e-30,0,,,
75,bK01F85R,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
76,bK01K18W,X,,,,88,,10,0.5,,,,,
77,bK01K20M,Sq,,,,,,,,1e-30,0,,,
78,bK01Q34C,Q,,,,,,,,,,,13.315,
79,bK01Q71E,X,,,,88,,10,0.5,,,,,
80,bK01QE2J,B,0.235,0.001,0.001,10,,,,,,,,
81,bK01T00D,X,,,,88,,10,0.5,,,,,
82,bK01V02E,T,,,,6,,,,,,,,
83,bK02A31L,X,,,,88,,10,0.5,,,,,
84,bK02B25F,Sr,,,,,,,,1e-30,0,,,
85,bK02G00R,O,,,,,,,,,,,2.965,1.25
86,bK02JA0R,Sk,,,,,,,,1e-30,0,,,
87,bK02L00W,Sq,,,,,,,,1e-30,0,,,
88,bK02T66Z,X,,,,88,,10,0.5,,,,,
89,bK02T69S,S,,,,,,,,1e-30,0,,,
90,bK02V91X,B,0.235,0.001,0.001,10,,,,,,,,
91,bK02VB4U,Sl,,,,,,,,1e-30,0,,,
92,bK03C04A,Xc,,,,88,,10,0.5,,,,,0.005
93,bK03E16Z,S,,,,,,,,1e-30,0,,,
94,bK03H42T,S,,,,,,,,1e-30,0,,,
95,bK03L00H,Xk,,,,88,,10,0.5,,,,,
96,bK03L06N,X,,,,88,,10,0.5,,,,,
97,bK03R11U,Sk,,,,,,,,1e-30,0,,,
98,bK03S84M,L,,,,,,,,1e-30,0,7,,
99,bK03W00E,S,,,,,,,,1e-30,0,,,
100,bK04A00D,S,,,,,,,,1e-30,0,,,
101,bK04B01Y,D,,,,,2.3e-05,,,,,,,
102,bK04B11H,Sq,,,,,,,,1e-30,0,,,
103,bK04B18V,Sq,,,,,,,,1e-30,0,,,
104,bK04E20O,Xc,,,,88,,10,0.5,,,,,0.005
105,bK04E21R,Sq,,,,,,,,1e-30,0,,,
106,bK04E22U,Q,,,,,,,,,,,13.315,
107,bK04F00H,Sq,,,,,,,,1e-30,0,,,
108,bK04H01Q,Sq,,,,,,,,1e-30,0,,,
109,bK04J01N,S,,,,,,,,1e-30,0,,,
110,bK04O10W,S,,,,,,,,1e-30,0,,,
111,bK04S00R,Sq,,,,,,,,1e-30,0,,,
112,bK04V01J,Ch,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
113,bK04W01H,S,,,,,,,,1e-30,0,,,
114,bK04X00G,S,,,,,,,,1e-30,0,,,
