,id,new_spec,est_mass,hydrogen_kg,nitrogen_kg,ammonia_kg,iron_kg,water_kg,nickel_kg,cobalt_kg,magnesium silicate_kg,iron silicate_kg,aluminum_kg,nickel-iron_kg,platinum_kg
0,a0003361,Sr,97394321180.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.739432118007092e-20,0.0,0.0,0.0,0.0
1,a0025143,S,108809610.98970515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0880961098970514e-22,0.0,0.0,0.0,0.0
2,a0089136,Sr,19332642940.102905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9332642940102908e-20,0.0,0.0,0.0,0.0
3,a0099942,Sq,38599931801.22851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.859993180122851e-20,0.0,0.0,0.0,0.0
4,a0101955,B,9981085545.951702,2345555103.29865,9981085.545951702,9981085.545951702,99810855459.51703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,a0138404,O,44949887162.15163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133276415435.77957,56187358952.68953
6,a0141424,S,12772676422.35009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2772676422350092e-20,0.0,0.0,0.0,0.0
7,a0162173,Cg,30112377499.968372,7076408712.492567,30112377.499968372,30112377.499968372,4998654664.99475,6022475499.993675,421573284.9995572,60224754.999936745,0.0,0.0,0.0,0.0,0.0
8,a0163899,R,646157301.763732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46157301763732e-22,0.0,0.0,0.0,0.0
9,a0207945,S,67067145875.02546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.706714587502547e-20,0.0,0.0,0.0,0.0
10,a0208023,S,12772575430.488443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2772575430488444e-20,0.0,0.0,0.0,0.0
11,a0216985,S,5590695454.77847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5906954547784704e-21,0.0,0.0,0.0,0.0
12,a0225312,S,2450347088.541992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4503470885419925e-21,0.0,0.0,0.0,0.0
13,a0228502,Cb,9049946741.475672,2126737484.2467828,9049946.741475672,9049946.741475672,751145579.5424808,904994674.1475673,63349627.1903297,9049946.741475672,0.0,0.0,0.0,0.0,0.0
14,a0251732,S,3208632819.45714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2086328194571404e-21,0.0,0.0,0.0,0.0
15,a0292220,Sk,58433305306.42814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.843330530642814e-20,0.0,0.0,0.0,0.0
16,a0309214,S,14686363991.198298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4686363991198298e-20,0.0,0.0,0.0,0.0
17,a0326354,S,607823867.4024819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.078238674024819e-22,0.0,0.0,0.0,0.0
18,a0329437,S,58433164267.58428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.843316426758429e-20,0.0,0.0,0.0,0.0
19,a0341843,X,50069958044.2998,0.0,0.0,0.0,4406156307898.382,0.0,500699580442.998,25034979022.1499,0.0,0.0,0.0,0.0,0.0
20,a0350462,S,1401878540.7672198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40187854076722e-21,0.0,0.0,0.0,0.0
21,a0350523,B,2685931288.842079,631193852.8778886,2685931.288842079,2685931.288842079,26859312888.42079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,a0350751,V,8422039059.615012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.422039059615013e-21,0.0,0.0,0.0,0.0
23,a0354182,Sq,9710874394.186886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.710874394186886e-21,0.0,0.0,0.0,0.0
24,a0363305,X,7562513897.106992,0.0,0.0,0.0,665501222945.4153,0.0,75625138971.06992,3781256948.553496,0.0,0.0,0.0,0.0,0.0
25,a0367943,O,52086903.35966349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154437668.46140224,65108629.19957936
26,a0382875,Xk,5466647611.081861,0.0,0.0,0.0,481064989775.20374,0.0,54666476110.8186,2733323805.5409303,0.0,0.0,0.0,0.0,0.0
27,a0416186,K,33686309389.267094,7916282706.477767,33686309.389267094,33686309.389267094,2795963679.309169,3368630938.9267097,235804165.72486967,33686309.389267094,0.0,0.0,0.0,0.0,0.0
28,a0417419,S,7569329525.787672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.569329525787673e-21,0.0,0.0,0.0,0.0
29,a0424482,S,50827802794.30722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.082780279430722e-20,0.0,0.0,0.0,0.0
30,a0429389,Sq,2784611437.365007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7846114373650073e-21,0.0,0.0,0.0,0.0
31,a0433303,S,1402300239.1998243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4023002391998244e-21,0.0,0.0,0.0,0.0
32,a0433953,Sr,9711379245.810972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.711379245810973e-21,0.0,0.0,0.0,0.0
33,a0443104,Sq,65994119.91083006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.599411991083007e-23,0.0,0.0,0.0,0.0
34,a0450237,Xk,917866376.6362262,0.0,0.0,0.0,80772241143.9879,0.0,9178663766.362263,458933188.3181131,0.0,0.0,0.0,0.0,0.0
35,a0451157,X,14441288852.0417,0.0,0.0,0.0,1270833418979.6697,0.0,144412888520.417,7220644426.02085,0.0,0.0,0.0,0.0,0.0
36,a0451370,K,1634238202.1100025,384045977.49585056,1634238.2021100025,1634238.2021100025,135641770.7751302,163423820.21100026,11439667.414770018,1634238.2021100025,0.0,0.0,0.0,0.0,0.0
37,a0452807,S,4253709943.6437674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.253709943643768e-21,0.0,0.0,0.0,0.0
38,a0455415,L,4864390049.431374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864390049431374e-21,0.0,34050730346.019615,0.0,0.0
39,a0459200,Sq,6417036072.48457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41703607248457e-21,0.0,0.0,0.0,0.0
40,a0459872,Sq,266479698.36348733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6647969836348738e-22,0.0,0.0,0.0,0.0
41,a0469219,Sq,66085558.1205121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.60855581205121e-23,0.0,0.0,0.0,0.0
42,a0471240,C,1247442083.8131633,293148889.6960934,1247442.0838131632,1247442.0838131632,207075385.91298512,249488416.76263267,17464189.173384286,2494884.1676263264,0.0,0.0,0.0,0.0,0.0
43,a0471984,S,531557652.6062692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.315576526062692e-22,0.0,0.0,0.0,0.0
44,a0474158,S,10535549588.4013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0535549588401302e-20,0.0,0.0,0.0,0.0
45,a0474163,X,13830838114.48217,0.0,0.0,0.0,1217113754074.431,0.0,138308381144.82172,6915419057.241085,0.0,0.0,0.0,0.0,0.0
46,a0478784,Sq,11507924.624486042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1507924624486043e-23,0.0,0.0,0.0,0.0
47,a0488615,Sq,2449759202.2594523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4497592022594526e-21,0.0,0.0,0.0,0.0
48,a0490581,Sq,26896918697.571068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.689691869757107e-20,0.0,0.0,0.0,0.0
49,a0499998,Sr,116117148.58964966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1611714858964968e-22,0.0,0.0,0.0,0.0
50,a0508908,S,7356987302.737108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35698730273711e-21,0.0,0.0,0.0,0.0
