,Unnamed: 0,id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT,Object,Orbit ID,H (mag),Estimated Diameter (m),OCC,"Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)",Viable Trajectories,Next Optical Opportunity (yyyy-mm [Vp]),Next Goldstone Radar Opportunity (yyyy-mm [SNR]),spec_B_clean,new_spec,diameter_clean,est_volume,est_density,est_mass,est_mass_th_tonnes
0,0,a0003361,2003361,  3361 Orpheus (1982 HR),3361,Orpheus,,Y,Y,19.03,,,,,,,0.3,,0.357,3.532,,1.022,0.503,,,,,,131,2455844.5,55844.0,20111010.0,J2000,0.3227518287897363,1.209662179044611,0.8192414985401851,2.685064194243215,189.5305493597428,301.6952075146929,102.829901808569,1.600082859549036,0.7408118495067914,2455705.692957595,20110524.1929576,485.9533500168449,1.3304677618531,0.0135908,5.289131636,3.45075,5.213,3.7127e-08,1.1101e-09,4.5113e-08,4.0392e-06,4.38e-05,4.4104e-05,7.9289e-06,1.4683e-09,1.0197e-09,1.0813e-05,6.6891e-07,APO,Otto Matic,13173.0,1982-04-24,2018-05-18,870.0,,,0.0,0.47357,,,2.0951896082863453e-14,,,3361 Orpheus (1982 HR),133,19.0,272 - 1216,0,"9.150, 354","9.946, 322",17332,2021-05 [14.3],2021-11 [69],nan,S,744.0,215634094.25608748,2.71,97394633285.91876,97394.63328591875
1,1,a0025143,2025143, 25143 Itokawa (1998 SF36),25143,Itokawa,,Y,Y,19.2,,,,,,,0.33,0.535x0.294x0.209,,12.132,2.1e-09,,,,S(IV),,,,186,2458600.5,58600.0,20190427.0,J2000,0.2801450925906586,1.324142659060737,0.953190591234926,1.621353986696963,69.08061743083834,162.8243015630173,288.8764120003307,1.695094726886548,0.6468475061776531,2458710.4541813494,20190814.9541813,556.5453937162247,1.52373824426071,0.0130949,5.096142233,3.29703,4.898,1.4499e-09,2.3566e-09,3.5681e-09,2.1697e-07,5.4038e-06,5.4419e-06,9.8302e-06,3.0168e-09,1.7268e-09,1.5491e-05,1.4857e-06,APO,Otto Matic,7349.0,1998-09-19,2018-11-02,844.0,19.0,18.0,0.0,0.4543,,,,,,25143 Itokawa (1998 SF36),198,18.9,282 - 1262,0,"9.409, 210","9.873, 178",21559,2021-06 [19.5],2033-03 [22],S,S,772.0,240907612.34600827,2.71,108810377.47389908,108.81037747389908
2,2,a0089136,2089136, 89136 (2001 US16),89136,,,Y,Y,20.2,,,,,,,,,,14.39,,,,,,,,,157,2458600.5,58600.0,20190427.0,J2000,0.2529262062159184,1.356083655838246,1.013094561455665,1.905243746337886,175.9607397933109,67.1206748257975,164.2774156013511,1.699072750220826,0.6241289841171009,2458337.289317942,20180806.7893179,576.8038485013792,1.57920287064033,0.0285322,11.103876274,3.31437,4.824,7.6418e-09,9.8302e-10,1.0108e-08,1.2141e-06,3.1237e-05,3.0983e-05,6.384e-06,1.2316e-09,6.7864e-10,9.9635e-06,6.2718e-07,APO,Otto Matic,5913.0,2001-10-18,2017-12-26,1248.0,2.0,2.0,0.0,0.43377,,,,,,89136 (2001 US16),169,20.2,159 - 709,0,"9.308, 298","9.905, 138",28990,2022-09 [19.3],2034-05 [1.e3],nan,X,434.0,42802369.403841436,5.32,37951848883.23817,37951.84888323816
3,3,a0099942,2099942, 99942 Apophis (2004 MN4),99942,Apophis,,Y,Y,19.7,0.25,,,,,,0.325,,0.23,30.4,,,,,Sq,,0.4,0.015,JPL 199,2454733.5,54733.0,20080924.0,J2000,0.1911953048308701,0.9224383019077086,0.7460724295867941,3.331369520013644,204.4460289189818,126.401879524849,180.429373045644,1.098804174228623,1.112495037603281,2454894.9125195034,20090304.4125195,323.596949048484,0.885960161665938,0.000315683,0.12285435311,4.12582,6.466,5.3461e-09,4.1547e-10,4.7439e-09,3.5025e-07,2.1065e-05,2.0643e-05,5.4642e-06,4.9491e-10,7.5161e-10,5.0014e-06,2.1863e-07,ATE,Giorgini,3946.0,2004-03-15,2015-01-03,4481.0,17.0,29.0,0.0,0.2745,,,-5.59284005405706e-14,,,99942 Apophis (2004 MN4),214,19.7,200 - 893,0,"6.049, 354","9.789, 202",272315,2021-05 [19.6],2029-04 [8.e10],Sq,Sq,546.5,85461226.47012715,2.71,38599962931.723404,38599.9629317234
4,4,a0101955,2101955,101955 Bennu (1999 RQ36),101955,Bennu,,Y,Y,20.19,-0.08,,,,,,0.492,0.565 x 0.535 x 0.508,0.046,4.297,5.2e-09,0.64,0.16,-0.33,B,,0.06,0.02,JPL 97,2455562.5,55562.0,20110101.0,J2000,0.2037451084785423,1.126391025934071,0.8968943641658774,6.034939533607825,2.060867329373625,66.22306846088361,101.7039479473255,1.355887687702265,0.8244613502889271,2455439.141945785,20100830.6419458,436.6487281348487,1.19547906402423,0.0032228,1.254217076,3.87795,5.525,2.2082e-08,4.0261e-11,2.486e-08,2.8213e-06,3.9444e-06,6.0706e-06,2.6478e-06,4.8464e-11,4.4203e-11,3.2088e-06,2.3411e-08,APO,Otto Matic,6821.0,1999-09-11,2018-05-15,518.0,22.0,7.0,0.0,0.27502,,,-4.6144251688159237e-14,,,101955 Bennu (1999 RQ36),97,20.2,159 - 713,0,"7.052, 354","9.906, 282",47754,none,none,B,B,436.0,43396838.320914514,1.38,9981103888.876463,9981.103888876463
5,5,a0138404,2138404,138404 (2000 HA24),138404,,,Y,Y,19.1,,,,,,,,,,3.908,,,,,,,,,82,2458600.5,58600.0,20190427.0,J2000,0.3187431089391378,1.138985704792491,0.7759418602096972,2.164774212331269,309.4071124871397,142.1158200774412,317.834345853335,1.502029549375284,0.8108241283335053,2458652.503452627,20190618.0034526,443.9927074443523,1.21558578355743,0.0272907,10.620721719,3.6838,5.455,4.0824e-08,2.6325e-09,4.645e-08,3.7533e-06,0.00014847,0.00014856,1.8435e-05,3.4715e-09,2.811e-09,2.2616e-05,1.5393e-06,APO,Otto Matic,12726.0,1982-07-20,2017-05-23,319.0,,,0.0,0.47722,,,,,,138404 (2000 HA24),84,19.1,263 - 1177,0,"9.868, 354","9.868, 354",13174,2021-05 [17.7],2034-03 [390],nan,X,720.0,195432195.79451382,5.32,173283166.82003433,173.28316682003432
6,6,a0141424,2141424,141424 (2002 CD),141424,,,Y,N,20.5,,,,,,,,,,,,,,,,,,,71,2458600.5,58600.0,20190427.0,J2000,0.1767365935660996,0.979914658521119,0.8067278797886087,6.875922242527864,8.684955681417113,331.7854999215268,46.63697011865526,1.153101437253629,1.016065469725408,2458554.600428065,20190312.1004281,354.3078775202252,0.970042101355853,0.0729855,28.403767035,4.10454,6.158,4.6418e-07,5.4033e-08,4.9903e-07,1.4638e-05,2.0501e-05,5.4292e-05,0.00051805,6.3583e-08,8.404e-08,0.00050608,2.9305e-05,ATE,Otto Matic,2001.0,2002-02-01,2007-07-26,297.0,,,1.0,0.55368,,,,,,141424 (2002 CD),72,20.5,138 - 618,1,"9.480, 354","9.987, 330",118067,2029-02 [22.6],none,nan,Sq,378.0,28279649.45707801,2.71,12773451077.471207,12773.451077471205
7,7,a0162173,2162173,162173 Ryugu (1999 JU3),162173,Ryugu,,Y,Y,19.3,,,,,,,,,,7.627,,,,,Cg,,,,JPL 120,2455907.5,55907.0,20111212.0,J2000,0.1902257533711703,1.189600821984975,0.9633081094119196,5.883742390778817,251.6197109778495,211.4258497031505,3.983244739497243,1.41589353455803,0.7596301443702679,2455902.2563366606,20111206.7563367,473.9148422005283,1.2975081237523,0.000638309,0.24841071353,3.70038,5.308,4.0878e-08,3.3264e-09,4.7907e-08,3.9603e-06,3.7157e-05,4.1484e-05,2.5274e-05,3.9592e-09,3.1861e-09,3.3258e-05,1.9878e-06,APO,Davide Farnocchia,11075.0,1986-04-14,2016-08-09,725.0,,,0.0,0.35206,,,-3.3718801801525103e-14,,,162173 Ryugu (1999 JU3),235,19.4,230 - 1030,0,"8.508, 354","9.877, 130",77628,2021-05 [19.0],2033-12 [190],Cg,Cg,630.0,130924303.04202783,1.38,30112390502.317043,30112.39050231704
8,8,a0163899,2163899,163899 (2003 SD220),163899,,,Y,Y,17.3,,,,,,,,,,285.0,,,,,,,,,83,2458600.5,58600.0,20190427.0,J2000,0.2106892852697895,0.8266952908383669,0.6525194508757306,8.51484562925109,273.916835765691,326.9304240854331,28.01244242270629,1.000871130801003,1.311251138553568,2458579.1368594086,20190405.6368594,274.5469494097932,0.75166858154632,0.0181259,7.054056503,4.00548,7.065,5.0735e-08,1.6591e-08,4.9182e-08,6.3977e-06,2.4854e-05,4.2419e-05,3.4964e-05,2.0087e-08,3.9474e-08,2.6459e-05,8.265e-06,ATE,Otto Matic,6868.0,2000-01-06,2018-10-26,455.0,4.0,2.0,0.0,0.32629,,,,,,163899 (2003 SD220),126,17.7,511 - 2285,0,"9.851, 178","9.913, 170",2535,2021-10 [13.6],2021-12 [1.2e4],nan,S,1398.0,1430606310.9113357,2.71,646157224.8751063,646.1572248751063
9,9,a0207945,2207945,207945 (1991 JW),207945,,,Y,Y,19.5,,,,,,,0.423,,0.161,3.15,,,,,,,,0.029,73,2458600.5,58600.0,20190427.0,J2000,0.1186532005847959,1.039065132184741,0.9157767286349572,8.710223901773091,53.86931825007935,301.9411697727052,31.07807954651415,1.162353535734524,0.9305504354115752,2458567.1024770243,20190324.602477,386.8678002829312,1.05918631152069,0.020229,7.87251993,4.03229,5.885,4.3067e-08,3.4435e-09,4.3775e-08,7.1988e-06,1.5767e-05,3.2994e-05,2.4566e-05,3.852e-09,4.6258e-09,2.6407e-05,1.9231e-06,APO,Otto Matic,20491.0,1955-04-16,2011-05-23,339.0,,,0.0,0.48646,,,,,,207945 (1991 JW),74,19.3,240 - 1074,0,"7.545, 354","9.860, 218",150606,2024-01 [21.4],none,nan,B,657.0,148489153.34256718,1.38,34152017731.042088,34152.017731042084
