,id,full_name,Next Optical Opportunity (yyyy-mm [Vp]),new_spec,diameter_clean,est_density,est_mass_th_tonnes
13,a0228502,228502 (2001 TE2),2026-07 [23.0],S,422.0,2.71,17772.318287485698
78,bK01Q34C,       (2001 QC34),2024-06 [22.4],S,434.0,2.71,19332.293149924302
2,a0089136, 89136 (2001 US16),2022-09 [19.3],S,434.0,2.71,19332.516921592392
141,bK06G00B,       (2006 GB),2021-05 [20.7],S,434.0,2.71,19332.844636633312
19,a0341843,341843 (2008 EV5),2021-12 [21.8],S,476.0,2.71,25506.117913663755
29,a0424482,424482 (2008 DG5),2021-09 [19.9],C,599.0,1.38,25882.606211280407
18,a0329437,329437 (2002 OA22),2021-05 [19.8],C,627.5,1.38,29755.470786298978
7,a0162173,162173 Ryugu (1999 JU3),2021-05 [19.0],Cg,630.0,1.38,30112.32086895022
27,a0416186,416186 (2002 TD60),2022-11 [20.8],C,654.0,1.38,33686.46102259918
3,a0099942, 99942 Apophis (2004 MN4),2021-05 [19.6],Sq,546.5,2.71,38599.71590248242
5,a0138404,138404 (2000 HA24),2021-05 [17.7],Ch,720.0,1.38,44949.805264626564
15,a0292220,292220 (2006 SU49),2021-05 [20.5],Sr,627.5,2.71,58432.782766910634
